,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.9261744111776352,0.6369333333333334,14.100706338882446,15.342260837554932,0.01,1000,True
1,1,2,0.4956615308920542,0.8125166666666667,17.694843292236328,33.121135234832764,0.01,1000,True
2,1,3,0.4123745173215866,0.8481,17.773850202560425,51.04687309265137,0.01,1000,True
3,1,4,0.3638576070467631,0.8660833333333333,21.48259401321411,72.5919508934021,0.01,1000,True
4,1,5,0.3328597337007523,0.8775166666666666,15.852197170257568,88.58753776550293,0.01,1000,True
5,2,1,1.1593076596657435,0.5584833333333333,18.407807111740112,20.53013038635254,0.01,1000,False
6,2,2,0.5614484588305155,0.7843333333333333,19.52104091644287,40.1950318813324,0.01,1000,False
7,2,3,0.4545668368538221,0.8315,15.411418914794922,55.66708159446716,0.01,1000,False
8,2,4,0.4106576472520828,0.84835,16.944109439849854,72.7558650970459,0.01,1000,False
9,2,5,0.37438860287268955,0.8608166666666667,19.777929306030273,92.78500485420227,0.01,1000,False
10,3,1,1.2786338388919831,0.5116833333333334,20.096415281295776,22.825541496276855,0.01,2000,True
11,3,2,0.6238839209079743,0.7573333333333333,18.581644296646118,41.5547890663147,0.01,2000,True
12,3,3,0.5120508829752605,0.8036166666666666,18.882561206817627,60.534379959106445,0.01,2000,True
13,3,4,0.4539527952671051,0.8322333333333334,18.91259765625,79.60399866104126,0.01,2000,True
14,3,5,0.4154506186644236,0.8473666666666667,15.889739274978638,95.562264919281,0.01,2000,True
15,4,1,1.2879503647486368,0.5338166666666667,17.198472023010254,21.105458974838257,0.01,2000,False
16,4,2,0.6608352422714233,0.74645,15.594886541366577,36.87089395523071,0.01,2000,False
17,4,3,0.5520973483721415,0.7913166666666667,17.10887861251831,54.05222129821777,0.01,2000,False
18,4,4,0.4793347696463267,0.8231,15.203949928283691,69.38325023651123,0.01,2000,False
19,4,5,0.4269179125626882,0.8449,15.61004900932312,85.04361605644226,0.01,2000,False
